SKU Pai,SKU Variação,Nome do Produto,Nome da Variação,Valor da Variação,Categoria (referência interna),Descrição do Produto,Marca,Preço (R$),Preço Original em Ienes (referência),Estoque,Peso(kg),Comprimento(cm),Largura(cm),Altura(cm),Dias de Preparação,Imagem de Capa,Imagem 2,Imagem 3,Imagem 4,Imagem 5,Imagem 6,Imagem 7,Imagem 8,Observações
JE-COS-0001,JE-COS-0001,Sabonete Corporal 8x4 MEN Foot + Body (Frasco + Refil),,Padrão,Cosméticos,"Shampoo Corporal 8x4 MEN Foot + Body (Frasco + Refil)  Limpeza profunda desenvolvida especialmente para homens, ajudando a remover odores e impurezas do corpo e dos pés. Sua fórmula proporciona sensação prolongada de frescor e higiene, deixando a pele limpa, revigorada e com fragrância refrescante.  ✔ Limpeza corporal e dos pés ✔ Ajuda a combater odores indesejados ✔ Sensação de frescor duradoura ✔ Ideal para uso diário ✔ Acompanha refil econômico  Conteúdo: Frasco + Refil.",Sem Marca,160.78,4950,999,1.500,8.4,5.4,19.2,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781758831/nikkeybox/products/8x4-men-foot-body-sabonete-corporal-e-pa-84nj/e8v3trfzccg3m7l3mrjj.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781758835/nikkeybox/products/8x4-men-foot-body-sabonete-corporal-e-pa-84nj/dhssopvqoivgkparmypa.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781758836/nikkeybox/products/8x4-men-foot-body-sabonete-corporal-e-pa-84nj/tityyfhv1prao2ognbtp.jpg",,,,,,
JE-COS-0002,JE-COS-0002,Sabonete Corporal 8x4 MEN Middle Age Care (Frasco + Refil),,Padrão,Cosméticos,"Sabonete líquido corporal masculino desenvolvido para limpeza profunda da pele, ajudando a controlar odores corporais e a sensação de oleosidade. Sua fórmula proporciona frescor duradouro e cuidado diário, deixando a pele limpa e revitalizada.  ✔ Ajuda a combater odores corporais ✔ Limpeza profunda e refrescante ✔ Ideal para uso diário ✔ Fragrância cítrica suave ✔ Acompanha refil econômico  Conteúdo: Frasco + Refil.",Sem Marca,188.37,5800,999,1.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781759009/nikkeybox/products/8x4-men-middle-body-wash-sabonete-liquid-wt79/jlcezb65nzvwx7nnzo2z.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781759015/nikkeybox/products/8x4-men-middle-body-wash-sabonete-liquid-wt79/v7gzlgsofo0v7fdny1mn.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781759015/nikkeybox/products/8x4-men-middle-body-wash-sabonete-liquid-wt79/jyfbff3i8rsix9kgp6m0.jpg",,,,,,
JE-DOC-0001,JE-DOC-0001,Alga Marinha Temperada Coreana (Gwangcheon Gim) – Kit com 12 Pacotes,,Padrão,Doces & Chás,"A tradicional alga marinha coreana temperada, crocante e saborosa, perfeita para acompanhar arroz, preparar lanches ou consumir como snack. Produzida com algas selecionadas e levemente temperadas, oferece um sabor irresistível que conquistou fãs em todo o mundo.  ✨ Características:  * Alga marinha coreana premium * Textura crocante e sabor levemente salgado * Pronta para consumo * Ideal para arroz, onigiri, bentôs e refeições orientais * Embalagens individuais para maior praticidade  🍙 Sugestões de consumo: Acompanhe arroz branco, enrole em onigiris, utilize em receitas japonesas e coreanas ou consuma como um snack saudável.  📦 Conteúdo: 12 pacotes individuais (cada pacote contém 6 folhas",Sem Marca,32.61,1000,999,,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781705737/nikkeybox/products/alga-marinha-temperada-coreana-gwangcheo-p3y8/ecg2rzjvp8epda7f8ivk.webp","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781705739/nikkeybox/products/alga-marinha-temperada-coreana-gwangcheo-p3y8/guprqngbbmr2hzhfqseg.webp",,,,,,,
JE-COS-0003,JE-COS-0003,ANESSA All-in-One Beauty Pact,,Padrão,Cosméticos,"Base compacta multifuncional que combina cobertura, proteção solar e hidratação em um único produto. Uniformiza o tom da pele, ajuda a disfarçar imperfeições e proporciona acabamento natural e confortável ao longo do dia.  ✔ Cobertura leve a média ✔ Acabamento natural e uniforme ✔ Proteção UV para uso diário ✔ Prática para retoques ao longo do dia ✔ Acompanha esponja aplicadora  Ideal para quem busca praticidade e uma pele bonita todos os dias.",Sem Marca,214.33,6600,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781759435/nikkeybox/products/anessa-all-in-one-beauty-pact-cushion-co-rgdv/laeie4fbk6mqqxoesynp.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781759439/nikkeybox/products/anessa-all-in-one-beauty-pact-cushion-co-rgdv/imxspklcs7fcew6i5ml5.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781759441/nikkeybox/products/anessa-all-in-one-beauty-pact-cushion-co-rgdv/lntbwyproeezbc6nknej.jpg",,,,,,
JE-COS-0004,JE-COS-0004,Anessa Tone Up Brightening UV Sunscreen Gel,,Padrão,Cosméticos,"Protetor solar facial com efeito tone up que ajuda a iluminar e uniformizar o tom da pele. Sua textura leve hidrata, protege dos raios UV e deixa um acabamento natural e radiante.  ✔ FPS 50+ PA++++ ✔ Efeito iluminador e uniformizador ✔ Textura leve e confortável ✔ Ideal para uso diário  Proteção solar com toque de luminosidade para uma pele mais bonita e saudável.",Sem Marca,97.51,3000,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781759984/nikkeybox/products/anessa-brightening-uv-sunscreen-gel-tone-g57t/d4sd8iwuirurhsan0ndk.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781759988/nikkeybox/products/anessa-brightening-uv-sunscreen-gel-tone-g57t/uzx6bh8zeb3iuadkhndc.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781759990/nikkeybox/products/anessa-brightening-uv-sunscreen-gel-tone-g57t/pktb7mibjjtovbjk3yob.jpg",,,,,,
JE-COS-0005,JE-COS-0005,ANESSA Brush-On Sunscreen,,Padrão,Cosméticos,"Protetor solar em pó com pincel integrado, ideal para reaplicar a proteção ao longo do dia de forma prática e sem borrar a maquiagem. Ajuda a controlar a oleosidade, deixando a pele com acabamento suave e natural.  ✔ FPS 50+ PA++++ ✔ Pincel integrado para fácil aplicação ✔ Ideal para retoques durante o dia ✔ Ajuda a controlar o brilho da pele ✔ Acabamento leve e natural  Proteção solar prática para levar na bolsa e usar a qualquer momento.",Sem Marca,227.31,7000,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781760338/nikkeybox/products/anessa-brush-on-powder-spf50-pa-awqg/cnep8l7ahdqmmwux5jod.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781760344/nikkeybox/products/anessa-brush-on-powder-spf50-pa-awqg/qt6bpqp1vfavpqity7ix.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781760345/nikkeybox/products/anessa-brush-on-powder-spf50-pa-awqg/bedmj3rehx1vx0qdn5iu.jpg",,,,,,
JE-COS-0006,JE-COS-0006,Anessa Day Serum,,Padrão,Cosméticos,"Sérum facial com alta proteção solar que ajuda a hidratar e iluminar a pele ao longo do dia. Sua fórmula leve proporciona conforto, viço natural e proteção eficaz contra os raios UV.  ✔ FPS 50+ PA++++ ✔ Hidratação e proteção em um só produto ✔ Textura leve e de rápida absorção ✔ Deixa a pele luminosa e macia ✔ Ideal para uso diário  Cuidado diário que une proteção solar e tratamento para uma pele saudável e radiante.",Sem Marca,201.35,6200,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781761084/nikkeybox/products/anessa-day-serum-spf50-pa-sun-dual-care-o5ki/qpqdv2q7avg20nltyraq.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781761086/nikkeybox/products/anessa-day-serum-spf50-pa-sun-dual-care-o5ki/turtrrenzaeam6vc1sym.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781761087/nikkeybox/products/anessa-day-serum-spf50-pa-sun-dual-care-o5ki/k0p9ghkpsyj6gfuari0f.jpg",,,,,,
JE-COS-0007,JE-COS-0007,ANESSA Men Multi-Control UV Sunscreen Gel,,Padrão,Cosméticos,"Protetor solar facial masculino com alta proteção UV e textura leve de rápida absorção. Ajuda a controlar a oleosidade, minimizar a aparência dos poros e manter a pele com aspecto fresco e confortável ao longo do dia.  ✔ FPS 50+ PA++++ ✔ Controle da oleosidade ✔ Textura leve e não pegajosa ✔ Ajuda a suavizar a aparência dos poros ✔ Ideal para uso diário  Proteção solar prática para uma pele protegida, confortável e com acabamento natural.",Sem Marca,129.96,4000,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781761465/nikkeybox/products/anessa-men-multi-control-uv-sunscreen-ge-hu3z/enqcsxn16ljl7qvmjjmc.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781761467/nikkeybox/products/anessa-men-multi-control-uv-sunscreen-ge-hu3z/xh2yorjkguwlr8m8xscr.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781761468/nikkeybox/products/anessa-men-multi-control-uv-sunscreen-ge-hu3z/jhm3iqknjor02ywblmbc.jpg",,,,,,
JE-COS-0008,JE-COS-0008,ANESSA Mild Gel | Baby,,Padrão,Cosméticos,"Protetor solar mineral com fórmula suave, desenvolvido para peles sensíveis e delicadas, incluindo crianças. Oferece proteção diária contra os raios UV enquanto ajuda a manter a pele hidratada e confortável.  ✔ FPS 35 PA+++ ✔ Ideal para peles sensíveis e infantis ✔ Fórmula suave e de fácil aplicação ✔ Hidrata e protege a pele ✔ Uso diário para rosto e corpo  Proteção delicada e confortável para toda a família.",Sem Marca,164.03,5050,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781761844/nikkeybox/products/anessa-mineral-uv-sunscreen-mild-gel-spf-lt1p/fwe2kzflkdywyheywi6a.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781761846/nikkeybox/products/anessa-mineral-uv-sunscreen-mild-gel-spf-lt1p/z45tzzziscspkg2kirjp.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781761847/nikkeybox/products/anessa-mineral-uv-sunscreen-mild-gel-spf-lt1p/frhlxsymxyzuwkcohrv3.jpg",,,,,,
JE-COS-0009,JE-COS-0009,Anessa Night Sun Care Serum,,Padrão,Cosméticos,"Sérum facial noturno desenvolvido para hidratar e revitalizar a pele após a exposição ao sol. Sua fórmula leve ajuda a restaurar a maciez, deixando a pele mais luminosa, hidratada e confortável ao acordar.  ✔ Hidratação intensa durante a noite ✔ Ajuda a recuperar a pele após o sol ✔ Textura leve e de rápida absorção ✔ Deixa a pele macia e radiante ✔ Ideal para a rotina noturna de cuidados  O cuidado perfeito para renovar e hidratar a pele enquanto você dorme.",Sem Marca,181.88,5600,999,0.500,,,,3,"https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781762144/nikkeybox/products/anessa-night-sun-care-serum-poej/lq2tbnwyddpnhya3ndpp.jpg","https://res.cloudinary.com/dw4j4tpub/image/upload/f_webp,q_auto/v1781762146/nikkeybox/products/anessa-night-sun-care-serum-poej/zeelocvcvf2ylijgbygu.jpg",,,,,,,
